sender_addr,recipient_addr,total_transactions,total_sent,total_received
0x51b1AbB847AD07372d35eA2B743E26C4679E7a50,0x2BA7BC831d847bC058b41AD9b7209F44569C0c19,10,0.0001,0.0001
0x52C66D8382311cC988617c76181A3Aa43420FE64,0x795E14Bd9A287a67643adE0Dacaf7B4911a3C7dF,10,0.0001,0.0001
0x53e26286fA540621351acaA059944b569530c588,0x234F62e389B10F7f80F41f1c62f16672651C6bF0,10,0.0001,0.0001
0x56e178002e822F8483710Aa3f8Dc285a2dB2A852,0x0C3930f66f9c83Aa9e7be4E07d1c3fA8391EB032,10,0.0001,0.0001
0x588CbcC69903F34AFA157880924B40C9dC93994F,0x0bEfca6D795829348364Ef9AaAe0563d7E815208,10,0.0001,0.0001
0x593F1B37b259bb05f9c5f33163E956FD4fA13200,0x218D0F8084cd10EaEE0551bd7284A7A5D222C129,10,0.0001,0.0001
0x5979AAbE5d20939b5DD6b8951f60Ff1Bd1Fc5Dd5,0xC5D40E29c117179ffE88Beb7A57B0b8Fd72e0fBa,10,0.0001,0.0001
0x5AAde1772b6660f4614Ec885cb4F9789263A11C6,0x21AcFdBC4a75a52770F1B8DE89D0Ac0dEfa8F5c0,10,0.0001,0.0001
0x5DC25A2C952Dec4A076D0d485567cce993Bfc17a,0x1EEdFe9bC8185cE53533bb5bAAB9700175bD413c,10,0.0001,0.0001
0x5E3cA6c619699Bf99b366441e272736fD0D2C5Fc,0x9658b1E178df2e4ceF6b4b3b17856fA63a7e9De6,10,0.0001,0.0001
0x5E3ffc1cdDfF34ebB9C1Cc70cC4ECaBf2F7AE210,0xa5B6c6C94BD408b84a35Be7509073956291C89d4,10,0.0001,0.0001
0x5F6B2CF9fcEbc40A9b779a21d4c7d0b6246369c7,0x142273a1DE5C012d937B2Ea7FfFD09f303B2934a,10,0.0001,0.0001
0x5a7E5615fAB069C69df1775A33Dd99EdC23299B6,0x6Ff465912fc1a71F9e55220ff05B1271a4B7f358,10,0.0001,0.0001
0x5d580430a1A2D8031BF405b3b8D1597440C6D0e2,0xCD2C023816FfdC87F24c5bEb40a02Aa0b0C03946,10,0.0001,0.0001
0x600912AE2eceF450de91B7D3f51ea68Fbbc836c5,0xdfF5f223E2Eb2801EdB40848e250176cfF242162,10,0.0001,0.0001
0x60491Df250aFa6d8D33F1B06F7F406e67071aF5b,0x787A187e99aeC098e3DeeB7EfCAe3844bbd2ca4D,10,0.0001,0.0001
0x64717E84f926b9BF2Aea688C6bCF53468Aef8efd,0xdD135daf893D640e486f1A6aD3e2A503417e633e,10,0.0001,0.0001
0x6542399CA43e7717F442822Be877B9732821f8DE,0xB8f395ee13080615851D9d829dF52724FbD135C7,10,0.0001,0.0001
0x6624938DfA0ade00637A094Ee30b6f3bB58ca249,0x3c3E9193356dBE32C1dD0c0E75aa5B8c828288D7,10,0.0001,0.0001
0x670aF9f3d7844ad07947ACfB1068c304e207Ac3f,0x10B9dE55a7Ff76F9Eb88E55443771a233B10929E,10,0.0001,0.0001
0x680ca637e4e3Fe60a994D2270D707b54177870c8,0x61f28e10e4c41a4183AAd5f6a77c1cdBE16A9d1c,10,0.0001,0.0001
0x6C8a9B49EAc0E721D1Ca2C3914c6CaCC132cA4ae,0xc4C8ca113c039B77741c7eE84027edEB46caF707,10,0.0001,0.0001
0x6D60011993E3cf277B31C2Ee07eb4666fa9BbBa0,0x5C8daEb85f338615A7943100D5cf704686284E9C,10,0.0001,0.0001
0x6D62D8e4Cda256CB42Af451F875D7a638f351E92,0x0E74e7E4455BB48ed4E01d365a1b906bd1D71b69,10,0.0001,0.0001
0x6DB1e9310662CbDdbF2c05D1b56289Cd0337507b,0x5f648A248537644Ff7Ae93eb3bC4672A845A6de9,10,0.0001,0.0001
0x6DD6f6F872A6CfebCCED33387D8959F1f9853998,0x64B0cc0bDb3b37109145ed1863Ba985eE6922900,10,0.0001,0.0001
0x6F27A235e3b6476c4Aadc1A45Ae572C3F746d49b,0x7998052792Eca4D7eac4908Ed114BAd17BEC6582,10,0.0001,0.0001
0x6aC9a2068E486784Bc3439d8D946109a3985D83b,0xF439698B89B75B9Bc837398Cfb79701868e934D7,10,0.0001,0.0001
0x6bF5168047e915f1351200B1EE4227c2dD16d838,0x48b89B4aBE272d98117579f0B455dAa4Ff3e3CB7,10,0.0001,0.0001
0x709188418AFCC0EB4e9a91EC5dA54a152905c5CA,0x17e98D6B13f4877D2B35580238759F7439573310,10,0.0001,0.0001
0x70f1913BCfa71CcACa5A6aB3de8d457b21CAF0b6,0x58666140e4d17e7415e749823574487C72C30a40,10,0.0001,0.0001
0x7225F919E5A9Dbc45B17fDaE1750E9821b7e193C,0x76dd4cEee1cc27B2209DA9F5Fe85e6278E9D2038,10,0.0001,0.0001
0x7297083317c9442e111e789aD7Fadb576889eBA4,0x9ea4Ed31e995e7A90A208EE622317283a534cf90,10,0.0001,0.0001
0x7529d75b1F43CBC6c4706fB5F04D730051C6156d,0xA2DdBAcFC17Df6A47E6BF2E1eB8456b383d5D17a,10,0.0001,0.0001
0x7552F5aE13A6aE445e39AC5210B8C4C3C6C922e3,0xbCAf3d3212d9E571287C43DAB9136C7fbC9706aC,10,0.0001,0.0001
0x764Ac8Cd991720d65719255b59B64E66A0A70632,0xB6312ff82604aC7038fc9Aa9164121a1732bed02,10,0.0001,0.0001
0x767Dd14234821B8f28B51Ec6E2305354C619Bfd9,0x090e8DfC0ea67E217E80FE0931195D1C84404219,10,0.0001,0.0001
0x76EB80e4b03b8dA416fB1444e4262f9343d77388,0x93164f5f2a64dEc86cd932D3cBB429ce25a38288,10,0.0001,0.0001
0x77514690CbBf5aF35F92ea13178a563ac03b59AD,0x1e80e85c32FaE0B75a762a743EF5Dd55B5B0e34A,10,0.0001,0.0001
0x780c6815B93AeB7DcA411cFb84fDC6Eb218C06F6,0xd7de902C58fA46130A91fED7D1058Ffba4e1E76c,10,0.0001,0.0001
0x7867dD0907C4c42169C92C81B036e74baE4a510B,0x684b39F131fA40BDFF3464fD2CaAfC6cfD543d23,10,0.0001,0.0001
0x7BCCBcFa351cC82F2C3D90aE70d8B93b3A60AE8A,0xa5ce8d4Ec851FDE0feFd5b48b0969B4924ad3129,10,0.0001,0.0001
0x7C555Ca6814E420494b4EF62E36F1DD2C54bCD1C,0x9cb4c6462927922BC861eF62C068811c895de297,10,0.0001,0.0001
0x7a205D58eFEcB222B5444d21E19AB37C97144047,0x0f631B6C4807FFa9adA37c6755872bBC6e5A511A,10,0.0001,0.0001
0x7f8B2C96ceA3B64241c8C6fDBbC943B4f5d15FB1,0xbE901f896a187a456a8805EE881cbE0D9Ec4A44c,10,0.0001,0.0001
0x808d4B242412F4cc7F7539C82F9c68900221fDa9,0xfBBA0f3571dbAF72847636823b237fC37bbd2475,10,0.0001,0.0001
0x82280c7a99487E74496229BB7F241a1236427e21,0x3E46742c36bF130D5EF94903e6926d8F47AfbC27,10,0.0001,0.0001
0x830116B21921bCd7C9C133B93F501c8921FaB348,0x6Caece27Ea49eD3F276aC18711DB3fE705156B23,10,0.0001,0.0001
0x831E32aE72E5c417E791fc77AF254AeEc7B53D88,0x4600F3FB91c7A4F0B703715ecd243994a6825CDD,10,0.0001,0.0001
0x83b290D9497a49DCf6Fe7C0Fe2500D92A6334Ed7,0xCd24B75a004f78A222C100299952f80556938f3c,10,0.0001,0.0001
0x84888628C5E4b6F464FbE56D6dd91fAa26dc7bb2,0xfD5CbdFb1248DB9Cdc70BB6083C712AB54033192,10,0.0001,0.0001
0x85d66E6B92808fb885C85e55D452cD2c92e80C6c,0x8F48A029836a56b1c82a41b66836e459ab5F01fA,10,0.0001,0.0001
0x8602D7eF4F507fb9ECb82b0cccAe2C16E4d9bEf2,0xDc8bc376bF4b24eED308885f737586538dCE8AB7,10,0.0001,0.0001
0x8693A599A42b4d96cA04d29187258153614189E9,0xb6B58c9BfFa0255B9BBe1Cd44F1A1555E26C8107,10,0.0001,0.0001
0x870012F3Ea5869F3957A1A231e616a0F94A666b2,0xebBA5Bce7462b4D8129D508Dadfd90D08FA36D1A,10,0.0001,0.0001
0x895d43D673B7d7168D86e9F352D350Eaa749E322,0xBf606845D15D50D5F8c63FF7dc99009403691729,10,0.0001,0.0001
0x896C2c7a859c69458473A45F65505075D2525658,0x5dbC88A41747D9eCa3E6da5cA1ED49B967260ED7,10,0.0001,0.0001
0x8C6ED9A4df9835cF048B8a66261c89D6DD49DbB4,0xB35c2Fd9b485B202132254AB15847EDC6874Bddf,10,0.0001,0.0001
0x8aae42FCf28243654bAfeD88702C9674C3F4b9e5,0xC41fB244AA83aa2643c2C8C626ff6a35bef63C1a,10,0.0001,0.0001
0x905359269465a9F57859BFAE92FAd5E3b5B2A932,0x528DD9d8A37D579934292DE0A88bFBe068DFAB55,10,0.0001,0.0001
0x911f79B3F9515038Ab3462A4D2857a8e81a1dCc9,0x780d70d2dee671a9cFab78D36d994223a0baD925,10,0.0001,0.0001
0x91a7E13EDaA295176612E385ec7986bd55eE136d,0x5E864557f9Eb0A4BE3ab0f08d9D1E30eFDd3B1A1,10,0.0001,0.0001
